City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Caucaia,-3.7361,-38.6531,82.35,73,20,11.5,BR,1651966354
Verkh-Usugli,52.7,115.1667,54.64,30,63,4.32,RU,1651966381
Pacific Grove,36.6177,-121.9166,68.54,73,20,18.01,US,1651966385
Leningradskiy,69.3833,178.4167,28.4,85,66,4.32,RU,1651966385
Kyrylivka,46.3759,35.3675,51.24,66,6,10.76,UA,1651966386
Shimoda,34.6667,138.95,68.36,79,48,12.48,JP,1651966386
Port Hardy,50.6996,-127.4199,46.58,81,75,5.75,CA,1651966387
Gaza,31.5,34.4667,60.53,72,44,3.87,PS,1651966390
Norman Wells,65.282,-126.8329,42.84,56,100,4.61,CA,1651966391
Rocha,-34.4833,-54.3333,57.56,90,67,4.25,UY,1651966391
Talara,-4.5772,-81.2719,72.36,73,0,23.02,PE,1651966391
Lavrentiya,65.5833,-171.0,32.41,89,86,5.23,RU,1651966392
Tasiilaq,65.6145,-37.6368,28.56,74,99,5.59,GL,1651966392
Saint-Philippe,-21.3585,55.7679,71.19,84,34,10.78,RE,1651966120
Lata,40.1629,-8.3327,61.07,62,100,2.3,PT,1651966393
Mahébourg,-20.4081,57.7,76.24,88,40,11.5,MU,1651966393
Marsh Harbour,26.5412,-77.0636,80.24,68,21,14.67,BS,1651966394
Aracati,-4.5617,-37.7697,76.91,90,98,9.57,BR,1651966394
Tiksi,71.6872,128.8694,15.15,85,19,5.91,RU,1651966395
Dothan,31.2232,-85.3905,80.8,48,0,14.97,US,1651966395
Luganville,-15.5333,167.1667,81.21,75,49,16.84,VU,1651966399
Coyhaique,-45.5752,-72.0662,64.35,63,100,14.97,CL,1651966352
Saint-Augustin,51.226,-58.6502,33.24,68,74,5.91,CA,1651966399
Goundam,16.4145,-3.6708,91.11,15,83,8.93,ML,1651966400
Buraidah,26.326,43.975,73.85,23,0,8.75,SA,1651966400
Assiut,27.181,31.1837,73.4,19,45,6.89,EG,1651966400
East London,-33.0153,27.9116,61.88,91,100,15.12,ZA,1651966401
Qui Nhon,13.7667,109.2333,78.6,87,97,4.12,VN,1651966404
Koumac,-20.5667,164.2833,80.2,53,56,7.74,NC,1651966405
Albany,42.6001,-73.9662,55.89,35,100,1.01,US,1651966115
Olafsvik,64.8945,-23.7142,42.57,87,100,12.24,IS,1651966408
Gorakhpur,29.45,75.6833,85.96,20,0,7.34,IN,1651966409
Alofi,-19.0595,-169.9187,76.89,94,95,3.44,NU,1651966409
Guerrero Negro,27.9769,-114.0611,65.37,71,14,19.22,MX,1651966409
Cabo San Lucas,22.8909,-109.9124,89.91,25,0,11.5,MX,1651966317
Qaanaaq,77.484,-69.3632,15.82,83,100,4.9,GL,1651966413
Acaraú,-2.8856,-40.12,78.66,87,68,10.56,BR,1651966413
Canala,-21.5333,165.95,76.1,58,83,11.12,NC,1651966414
Kavaratti,10.5669,72.642,84.31,72,41,13.8,IN,1651966414
Siocon,7.7061,122.1353,84.42,76,83,3.65,PH,1651966415
Kapaa,22.0752,-159.319,82.38,76,100,16.11,US,1651966308
Kumul,42.8,93.45,70.39,24,62,10.74,CN,1651966415
Pisco,-13.7,-76.2167,68.05,77,0,11.5,PE,1651966416
Tuktoyaktuk,69.4541,-133.0374,37.4,75,40,13.8,CA,1651966416
Bethel,41.3712,-73.414,50.36,72,100,9.22,US,1651966416
Bariloche,-41.1456,-71.3082,55.15,58,40,14.97,AR,1651966417
Saint George,37.1041,-113.5841,91.63,12,0,23.02,US,1651966119
Ubinskoye,55.3068,79.6802,33.15,45,28,5.35,RU,1651966417
Presidente Médici,-11.1753,-61.9014,74.82,81,8,0.98,BR,1651966418
Pevek,69.7008,170.3133,28.27,84,100,2.95,RU,1651966418
Faanui,-16.4833,-151.75,80.98,76,10,5.32,PF,1651966419
Vila Franca do Campo,37.7167,-25.4333,66.2,93,95,0.31,PT,1651966419
Bakchar,57.0186,82.0711,28.54,59,99,8.28,RU,1651966419
Byron Bay,-28.65,153.6167,64.29,89,100,13.35,AU,1651966424
Magadan,59.5667,150.8,36.54,94,100,4.03,RU,1651966424
Lagoa,39.05,-27.9833,60.33,71,63,4.29,PT,1651966425
San Ignacio,17.1561,-89.0714,102.34,32,20,0.0,BZ,1651966425
Vangaindrano,-23.35,47.6,70.59,96,22,4.41,MG,1651966425
Hong Kong,22.2855,114.1577,78.24,73,100,7.0,HK,1651966393
Avarua,-21.2078,-159.775,86.05,79,100,6.91,CK,1651966426
Ketchikan,55.3422,-131.6461,54.07,47,40,13.8,US,1651966426
Viedma,-40.8135,-62.9967,67.6,36,12,14.97,AR,1651966427
Upernavik,72.7868,-56.1549,9.12,82,13,5.95,GL,1651966418
San Jose,37.3394,-121.895,68.92,48,75,21.85,US,1651966338
San Rafael del Sur,11.8485,-86.4384,88.77,69,41,2.91,NI,1651966427
Ardmore,34.1743,-97.1436,83.46,72,75,18.41,US,1651966428
Ceyhan,37.0247,35.8175,57.04,79,10,4.07,TR,1651966428
Bonthe,7.5264,-12.505,78.51,88,82,0.51,SL,1651966428
Cape Town,-33.9258,18.4232,57.9,82,0,11.01,ZA,1651966350
Vila,42.0304,-8.1588,56.28,70,99,3.15,PT,1651966429
Tarauacá,-8.1614,-70.7656,74.03,86,22,1.61,BR,1651966429
Thompson,55.7435,-97.8558,68.16,49,100,5.75,CA,1651966430
Itarema,-2.9248,-39.9167,77.94,89,84,10.96,BR,1651966430
Moree,-29.4667,149.85,57.22,51,30,13.8,AU,1651966216
Layou,13.2,-61.2667,77.04,79,99,8.12,VC,1651966431
Elliot Lake,46.3834,-82.6331,50.02,51,13,3.2,CA,1651966431
Los Llanos de Aridane,28.6585,-17.9182,65.12,81,20,9.22,ES,1651966432
Pangody,65.85,74.4859,12.34,95,27,7.52,RU,1651966432
Sioux Lookout,50.1001,-91.917,66.27,32,75,11.5,CA,1651966432
Vao,-22.6667,167.4833,73.99,62,49,15.32,NC,1651966274
Kulhudhuffushi,6.6221,73.07,84.43,74,98,11.92,MV,1651966433
San Cristobal,7.7669,-72.225,75.38,97,83,3.58,VE,1651966436
Ilanskiy,56.2358,96.065,36.91,48,63,20.96,RU,1651966440
Nikolskoye,59.7035,30.7861,49.89,94,100,8.08,RU,1651966440
Ambilobe,-13.2,49.05,70.61,88,28,3.56,MG,1651966441
Acapulco de Juárez,16.8634,-99.8901,84.02,70,75,9.22,MX,1651966441
Gmina Strzelin,50.7816,17.0648,51.98,78,16,2.91,PL,1651966441
Turaif,31.6725,38.6637,55.65,67,0,9.22,SA,1651966404
Kieta,-6.2167,155.6333,84.94,70,45,3.44,PG,1651966442
Petropavlovka,50.6114,105.3196,50.95,63,50,3.87,RU,1651966442
New Norfolk,-42.7826,147.0587,55.92,73,91,4.29,AU,1651966443
Aklavik,68.2191,-135.0107,44.6,53,20,11.5,CA,1651966443
Areia Branca,-4.9561,-37.1369,77.47,86,99,12.86,BR,1651966444
Guarapari,-20.6667,-40.4975,71.6,88,8,11.52,BR,1651966444
Denpasar,-8.65,115.2167,80.26,88,20,1.14,ID,1651966444
Sakakah,29.9697,40.2064,62.17,24,0,4.34,SA,1651966445
Poum,-20.2333,164.0167,78.24,65,62,23.2,NC,1651966445
Shingū,33.7333,135.9833,70.02,50,8,1.72,JP,1651966446
Ambon City,-3.6954,128.1814,82.54,83,40,5.75,ID,1651966446
Suphan Buri,14.4742,100.1222,77.67,87,100,1.57,TH,1651966447
Torbay,47.6666,-52.7314,40.28,78,75,4.61,CA,1651966447
Sitka,57.0531,-135.33,51.69,54,100,13.8,US,1651966447
Kiryat Gat,31.61,34.7642,63.39,70,47,4.38,IL,1651966193
Haines Junction,60.7522,-137.5108,37.35,93,95,3.44,CA,1651966448
Half Moon Bay,37.4636,-122.4286,66.49,68,40,29.93,US,1651966448
Aswān,24.0934,32.907,76.87,16,4,8.39,EG,1651966449
Pangnirtung,66.1451,-65.7125,17.46,82,97,4.54,CA,1651966449
Samarai,-10.6167,150.6667,84.07,77,44,13.31,PG,1651966453
Mount Gambier,-37.8333,140.7667,53.51,82,75,5.75,AU,1651966453
Gunnedah,-30.9833,150.25,57.04,45,0,5.75,AU,1651966454
Zhigansk,66.7697,123.3711,27.63,89,100,13.44,RU,1651966454
Iquique,-20.2208,-70.1431,64.44,83,63,2.37,CL,1651966333
Oranjemund,-28.55,16.4333,53.96,86,0,6.02,NA,1651966461
Port Lincoln,-34.7333,135.8667,58.96,72,2,4.65,AU,1651966461
Chui,-33.6971,-53.4616,58.28,83,25,5.23,UY,1651966462
Chokurdakh,70.6333,147.9167,17.42,87,99,11.86,RU,1651966462
Merauke,-8.4667,140.3333,81.21,87,100,11.21,ID,1651966462
Penzance,50.1186,-5.5371,48.88,86,100,6.35,GB,1651966463
Port Blair,11.6667,92.75,84.24,79,75,12.66,IN,1651966246
Kalmunai,7.4167,81.8167,80.2,84,97,5.1,LK,1651966463
Belyy Yar,53.6039,91.3903,41.86,65,0,8.95,RU,1651966467
Tamandaré,-8.7597,-35.1047,77.14,82,84,2.75,BR,1651966467
Kaitangata,-46.2817,169.8464,56.48,90,100,2.26,NZ,1651966468
Cherskiy,68.75,161.3,30.78,98,100,8.75,RU,1651966468
Muros,42.7762,-9.0603,58.84,81,85,5.14,ES,1651966468
Coquimbo,-29.9533,-71.3436,56.93,82,100,6.91,CL,1651966421
Sechura,-5.5569,-80.8222,70.54,71,5,18.72,PE,1651966472
Mandalgovi,45.7625,106.2708,44.08,42,0,7.14,MN,1651966472
Birjand,32.8663,59.2211,70.27,28,93,4.61,IR,1651966473
Fortuna,40.5982,-124.1573,59.86,74,75,13.8,US,1651966208
Cidreira,-30.1811,-50.2056,63.18,74,0,8.59,BR,1651966473
Waspán,14.7419,-83.9717,79.97,78,96,6.96,NI,1651966477
Naze,28.3667,129.4833,72.52,79,100,8.39,JP,1651966477
Caravelas,-17.7125,-39.2481,74.17,88,93,11.72,BR,1651966478
Kapit,2.0167,112.9333,77.72,95,96,0.34,MY,1651966478
Ixtapa,20.7,-105.2,79.23,73,0,13.8,MX,1651966478
Ponta do Sol,32.6667,-17.1,63.23,70,56,7.72,PT,1651966479
Karratha,-20.7377,116.8463,77.97,46,80,15.03,AU,1651966479
Atasū,48.6814,71.6433,40.96,37,38,18.7,KZ,1651966480
Santa Isabel Rio Negro,-0.4139,-65.0192,73.69,97,92,0.54,BR,1651966480
Palamós,41.8484,3.1291,65.98,35,81,5.14,ES,1651966480
Kitimat,54.0524,-128.6534,52.18,54,91,1.01,CA,1651966481
At-Bashi,41.1702,75.8106,52.02,52,2,2.1,KG,1651966481
Hay River,60.8156,-115.7999,33.78,100,100,12.66,CA,1651966482
Şahbuz,39.4072,45.5739,49.6,83,97,2.26,AZ,1651966482
Newcastle,-32.9272,151.7765,61.72,62,0,17.27,AU,1651966460
Santa Fe,-31.6333,-60.7,67.01,78,91,1.99,AR,1651966338
Key Largo,25.0865,-80.4473,86.0,55,8,15.57,US,1651966403
Union,40.6334,-74.2663,48.94,80,100,18.41,US,1651966483
Dikson,73.5069,80.5464,5.65,97,91,10.36,RU,1651966483
Colinas,-6.0258,-44.2492,74.61,81,81,1.86,BR,1651966483
Kiunga,-6.1219,141.2906,85.77,73,93,1.36,PG,1651966484
Korla,41.7597,86.1469,69.85,46,81,13.15,CN,1651966484
Stephenville,32.2207,-98.2023,94.15,54,0,16.11,US,1651966439
Mayo,38.8876,-76.5119,50.11,93,100,16.11,US,1651966485
Hambantota,6.1241,81.1185,80.33,86,100,13.51,LK,1651966485
General Pico,-35.6566,-63.7568,66.16,49,28,12.55,AR,1651966489
Sur,22.5667,59.5289,84.07,57,0,7.4,OM,1651966489
Challans,46.8436,-1.8749,55.6,94,47,8.21,FR,1651966490
Hobyo,5.3505,48.5268,82.94,75,23,21.52,SO,1651966490
Batagay-Alyta,67.8006,130.4114,17.24,83,100,3.94,RU,1651966490
Puerto Ayora,-0.7393,-90.3518,72.39,88,26,7.78,EC,1651966491
Iqaluit,63.7506,-68.5145,29.93,51,75,9.22,CA,1651966213
Saldanha,-33.0117,17.9442,51.85,84,0,15.66,ZA,1651966491
Hirara,24.8,125.2833,77.27,88,75,6.91,JP,1651966492
Khovd,48.0056,91.6419,58.24,37,63,10.58,MN,1651966492
São Filipe,14.8961,-24.4956,74.28,77,30,12.64,CV,1651966492
Mabaruma,8.2,-59.7833,73.54,99,100,2.51,GY,1651966493
Ostrów Mazowiecka,52.8024,21.8951,49.62,87,99,4.27,PL,1651966493
Linhares,-19.3911,-40.0722,71.6,81,3,6.76,BR,1651966494
Teguise,29.0605,-13.564,66.42,64,0,17.27,ES,1651966321
Makakilo City,21.3469,-158.0858,80.92,57,100,16.11,US,1651966494
Flinders,-34.5833,150.8552,63.37,57,0,7.0,AU,1651966495
Srandakan,-7.9386,110.2506,78.91,85,92,2.64,ID,1651966495
Port-Gentil,-0.7193,8.7815,78.76,94,40,6.91,GA,1651966499
Grindavik,63.8424,-22.4338,45.07,93,75,19.57,IS,1651966499
Ancud,-41.8697,-73.8203,56.71,88,100,16.93,CL,1651966351
Kirovskiy,45.0917,133.5136,49.05,47,26,12.73,RU,1651966509
Nome,64.5011,-165.4064,33.17,93,100,18.41,US,1651966509
Mount Isa,-20.7333,139.5,67.77,45,0,9.22,AU,1651966510
Dongli,23.5656,116.8194,71.58,100,100,0.0,CN,1651966510
Necochea,-38.5473,-58.7368,59.99,78,44,12.15,AR,1651966510
Paamiut,61.994,-49.6678,31.66,89,71,13.49,GL,1651966511
Tailai,46.3833,123.4,56.1,39,85,8.57,CN,1651966511
Isangel,-19.55,169.2667,78.69,57,5,17.9,VU,1651966512
Kondoa,-4.9,35.7833,57.27,93,22,3.87,TZ,1651966512
Bubaque,11.2833,-15.8333,77.22,72,2,12.75,GW,1651966513
Ōfunato,39.0717,141.7167,55.63,50,58,13.96,JP,1651966513
Macas,-2.3167,-78.1167,74.95,83,75,3.44,EC,1651966513
Makīnsk,52.6292,70.4169,36.97,42,0,1.45,KZ,1651966514
Mossamedes,-15.1961,12.1522,71.6,74,1,3.94,AO,1651966514
Asău,46.4333,26.4,47.32,80,57,3.0,RO,1651966515
Fraserburgh,57.6874,-2.0184,44.11,85,64,11.01,GB,1651966515
Tigil',57.8,158.6667,38.05,70,98,22.3,RU,1651966516
Moose Factory,51.2585,-80.6094,44.6,56,0,14.97,CA,1651966516
Atambua,-9.1061,124.8925,78.98,73,34,6.26,ID,1651966517
Lodja,-3.4833,23.4333,69.44,99,98,2.33,CD,1651966517
Burnie,-41.0667,145.9167,52.95,71,68,10.78,AU,1651966517
Lamar,33.6668,-95.5836,81.99,69,0,16.11,US,1651966518
Castaños,26.7833,-101.4167,103.59,29,20,6.91,MX,1651966518
Esperance,-33.8667,121.9,51.64,48,92,17.2,AU,1651966519
Petropavlovsk-Kamchatskiy,53.0452,158.6483,59.59,41,0,4.47,RU,1651966284
Kushikino,31.7167,130.2667,69.26,72,92,1.66,JP,1651966519
Myaundzha,63.0494,147.1858,25.92,86,100,3.22,RU,1651966520
Vanimo,-2.6741,141.3028,84.52,74,58,6.58,PG,1651966520
Malinovoye Ozero,51.6753,79.7825,38.21,38,1,4.52,RU,1651966521
Pringsewu,-5.3582,104.9744,74.37,97,100,1.77,ID,1651966521
Avera,33.194,-82.5271,71.11,56,65,12.88,US,1651966521
Verkhoyansk,67.5447,133.385,23.34,70,95,4.0,RU,1651966522
Muli,2.9167,73.5667,83.95,78,96,13.67,MV,1651966523
Sam Roi Yot,12.2708,99.872,84.97,70,100,3.8,TH,1651966523
Bud,39.447,-86.1758,66.22,79,47,10.2,US,1651966523
Talnakh,69.4865,88.3972,11.21,87,4,12.19,RU,1651966524
Vostok,46.4856,135.8833,36.81,79,100,10.47,RU,1651966524
Lindi,-10.0,39.7167,70.29,98,15,4.83,TZ,1651966525
Atbasar,51.8,68.3333,39.0,42,2,6.82,KZ,1651966525
Kifrī,34.6959,44.9661,63.0,40,5,1.72,IQ,1651966525
Port Hedland,-20.3167,118.5667,73.45,35,36,11.5,AU,1651966526
Terrace,54.5163,-128.6035,51.71,46,100,4.61,CA,1651966481
San Quintín,30.4833,-115.95,64.42,74,11,14.92,MX,1651966526
Moralillo,22.2167,-97.9,84.43,79,20,12.66,MX,1651966527
Bengkulu,-3.8004,102.2655,76.82,84,100,4.85,ID,1651966527
Samaná,19.2056,-69.3369,82.36,76,3,7.07,DO,1651966528
Borazjan,29.2666,51.2159,80.47,34,4,3.56,IR,1651966528
Chibombo,-14.6569,28.0706,62.64,77,70,3.83,ZM,1651966531
Bosaso,11.2842,49.1816,84.49,62,14,1.63,SO,1651966532
Huilong,31.8111,121.655,63.93,64,24,11.86,CN,1651966532
Leshukonskoye,64.8989,45.7622,43.09,89,30,10.45,RU,1651966533
Beloha,-25.1667,45.05,68.52,84,33,0.65,MG,1651966533
Turukhansk,65.8167,87.9833,12.38,88,100,18.54,RU,1651966534
Derzhavīnsk,51.1,66.3167,41.04,44,24,10.87,KZ,1651966534
Suntar,62.1444,117.6319,43.47,87,100,10.6,RU,1651966534
Bosconia,9.9689,-73.8836,80.46,72,57,2.3,CO,1651966535
Funadhoo,6.15,73.2667,84.56,74,92,12.8,MV,1651966535
Araouane,18.9048,-3.5265,86.25,12,0,12.48,ML,1651966536
Gravelbourg,49.8834,-106.5512,53.87,59,100,16.73,CA,1651966536
Ayan,56.45,138.1667,39.97,73,2,8.61,RU,1651966537
Usinsk,65.9939,57.5281,34.18,98,99,11.14,RU,1651966537
Popondetta,-8.7537,148.2534,88.09,57,57,3.27,PG,1651966537
Clovis,36.8252,-119.7029,78.84,29,75,12.66,US,1651966359
Malya,-2.9833,33.5167,64.8,86,39,4.56,TZ,1651966538
Samfya,-11.3649,29.5565,67.1,67,95,5.95,ZM,1651966538
Vega de Alatorre,20.0333,-96.6333,84.87,72,3,8.9,MX,1651966539
Taoudenni,22.6783,-3.9836,84.36,9,0,12.93,ML,1651966539
Jalu,29.0331,21.5482,67.55,53,92,11.5,LY,1651966542
Margate,51.3813,1.3862,49.87,88,3,5.99,GB,1651966543
Zliten,32.4674,14.5687,63.57,66,8,7.85,LY,1651966543
Ilulissat,69.2167,-51.1,28.42,69,9,6.91,GL,1651966547
Opportunity,47.6499,-117.2399,55.08,70,100,16.11,US,1651966547
Anaconda,46.1285,-112.9423,45.59,68,84,10.11,US,1651966548
Kashgar,39.4547,75.9797,67.21,32,0,8.95,CN,1651966548
Codrington,-38.2667,141.9667,56.5,72,86,8.7,AU,1651966549
Laguna,38.421,-121.4238,77.95,32,0,5.75,US,1651966549
Matagami,49.7502,-77.6328,53.71,19,0,5.75,CA,1651966356
Skegness,53.1436,0.3363,49.96,83,6,9.42,GB,1651966549
Taree,-31.9,152.4667,58.1,67,46,5.75,AU,1651966550
Longyearbyen,78.2186,15.6401,10.24,56,20,11.5,SJ,1651966550
Cam Ranh,11.9214,109.1591,78.76,89,40,1.14,VN,1651966551
Berbera,10.4396,45.0143,84.38,74,17,2.01,SO,1651966551
Kamaishi,39.2667,141.8833,54.18,55,67,6.82,JP,1651966555
Ust'-Shonosha,61.1531,41.343,48.16,81,50,10.74,RU,1651966555
Los Alamos,35.8881,-106.307,81.16,12,0,21.85,US,1651966335
Suileng,47.25,127.0833,52.36,36,0,6.6,CN,1651966556
Bani Walid,31.7566,13.9942,60.21,66,34,2.93,LY,1651966556
Koson,39.0375,65.585,70.12,44,7,8.16,UZ,1651966556
Cobán,15.4833,-90.3667,67.78,88,75,0.0,GT,1651966557
Kupang,-10.1667,123.5833,82.47,73,45,14.72,ID,1651966557
Mafeteng,-29.823,27.2374,49.21,74,78,4.94,LS,1651966558
Boende,-0.2167,20.8667,70.7,96,74,2.95,CD,1651966558
Mapiripán,2.8892,-72.1256,71.13,98,100,2.51,CO,1651966558
Vila Velha,-20.3297,-40.2925,75.15,83,75,10.36,BR,1651966422
Kavieng,-2.5744,150.7967,85.48,66,50,18.16,PG,1651966559
Awjilah,29.1081,21.2869,67.42,55,82,11.07,LY,1651966559
Rio Grande,-32.035,-52.0986,59.99,73,0,5.53,BR,1651966560
Dedovichi,57.5517,29.9502,49.28,96,100,7.45,RU,1651966560
Yaan,7.3833,8.5667,77.7,83,100,6.91,NG,1651966564
Kozhevnikovo,56.2589,83.9714,28.26,52,93,10.07,RU,1651966564
Saskylakh,71.9167,114.0833,9.55,92,24,10.87,RU,1651966564
Mocuba,-16.8392,36.9856,64.54,98,9,1.99,MZ,1651966565
Sibolga,1.7427,98.7792,76.5,88,100,3.11,ID,1651966565
Inta,66.0317,60.1659,39.22,97,100,14.07,RU,1651966566
Dauriya,49.9333,116.8667,53.44,32,6,8.9,RU,1651966572
Taltal,-25.4,-70.4833,58.78,88,54,2.98,CL,1651966576
Alekseyevka,50.6309,38.6903,43.52,62,37,3.87,RU,1651966577
Tshikapa,-6.4167,20.8,73.56,83,98,2.42,CD,1651966577
Bukama,-9.2,25.85,68.99,80,27,1.34,CD,1651966577
Goiatuba,-18.0125,-49.3547,69.3,61,19,4.61,BR,1651966578
Russell,32.3502,-85.1999,76.6,53,0,12.66,US,1651966507
Dunedin,-45.8742,170.5036,58.8,82,100,7.0,NZ,1651966491
Sakhipur,24.3,90.1833,80.02,70,1,1.95,BD,1651966578
‘Ewa Beach,21.3156,-158.0072,82.35,56,100,16.11,US,1651966336
Palāsa,18.7667,84.4167,77.9,88,33,2.28,IN,1651966579
Northam,51.0333,-4.2167,52.39,91,100,3.31,GB,1651966579
Tezu,27.9167,96.1667,73.02,78,34,3.29,IN,1651966580
Chadiza,-14.0678,32.4392,60.39,85,70,1.86,ZM,1651966581
Teya,60.3778,92.6267,24.73,87,100,14.5,RU,1651966581
Zhicheng,30.2956,111.5047,68.86,71,17,4.59,CN,1651966584
Lompoc,34.6391,-120.4579,72.01,67,0,32.01,US,1651966585
Champerico,14.3,-91.9167,93.74,72,77,6.69,GT,1651966585
Voyvozh,62.892,54.9635,40.44,88,72,7.87,RU,1651966586
Launceston,-41.45,147.1667,56.84,62,35,4.61,AU,1651966586
Sembakung,3.8167,117.25,78.13,92,100,2.37,ID,1651966586
Quatre Cocos,-20.2078,57.7625,76.08,76,28,12.97,MU,1651966587
